"Survived","Pclass","Sex","SibSp","Parch","Fare","GrupoEdad"
"No","3","male",1,0,7.25,"Adultos"
"Si","1","female",1,0,71.2833,"Adultos"
"Si","3","female",0,0,7.925,"Adultos"
"Si","1","female",1,0,53.1,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","male",0,0,8.4583,"Adultos"
"No","1","male",0,0,51.8625,"Adultos"
"No","3","male",3,1,21.075,"Niños"
"Si","3","female",0,2,11.1333,"Adultos"
"Si","2","female",1,0,30.0708,"Niños"
"Si","3","female",1,1,16.7,"Niños"
"Si","1","female",0,0,26.55,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","male",1,5,31.275,"Adultos"
"No","3","female",0,0,7.8542,"Niños"
"Si","2","female",0,0,16,"Adultos"
"No","3","male",4,1,29.125,"Niños"
"Si","2","male",0,0,13,"Adultos"
"No","3","female",1,0,18,"Adultos"
"Si","3","female",0,0,7.225,"Adultos"
"No","2","male",0,0,26,"Adultos"
"Si","2","male",0,0,13,"Adultos"
"Si","3","female",0,0,8.0292,"Adultos"
"Si","1","male",0,0,35.5,"Adultos"
"No","3","female",3,1,21.075,"Niños"
"Si","3","female",1,5,31.3875,"Adultos"
"No","3","male",0,0,7.225,"Adultos"
"No","1","male",3,2,263,"Adultos"
"Si","3","female",0,0,7.8792,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","1","male",0,0,27.7208,"Adultos"
"Si","1","female",1,0,146.5208,"Adultos"
"Si","3","female",0,0,7.75,"Adultos"
"No","2","male",0,0,10.5,"3ra Edad"
"No","1","male",1,0,82.1708,"Adultos"
"No","1","male",1,0,52,"Adultos"
"Si","3","male",0,0,7.2292,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","female",2,0,18,"Adultos"
"Si","3","female",1,0,11.2417,"Niños"
"No","3","female",1,0,9.475,"Adultos"
"No","2","female",1,0,21,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"Si","2","female",1,2,41.5792,"Niños"
"Si","3","female",0,0,7.8792,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","male",1,0,15.5,"Adultos"
"Si","3","female",0,0,7.75,"Adultos"
"No","3","male",2,0,21.6792,"Adultos"
"No","3","female",1,0,17.8,"Adultos"
"No","3","male",4,1,39.6875,"Niños"
"No","3","male",0,0,7.8,"Adultos"
"Si","1","female",1,0,76.7292,"Adultos"
"Si","2","female",1,0,26,"Adultos"
"No","1","male",0,1,61.9792,"3ra Edad"
"Si","1","male",0,0,35.5,"Adultos"
"Si","2","female",0,0,10.5,"Adultos"
"No","3","male",0,0,7.2292,"Adultos"
"Si","2","female",1,2,27.75,"Niños"
"No","3","male",5,2,46.9,"Niños"
"No","3","male",0,0,7.2292,"Adultos"
"Si","1","female",0,0,80,"Adultos"
"No","1","male",1,0,83.475,"Adultos"
"No","3","male",3,2,27.9,"Niños"
"No","1","male",0,0,27.7208,"Adultos"
"Si","3","male",1,1,15.2458,"Niños"
"Si","2","female",0,0,10.5,"Adultos"
"No","3","male",0,0,8.1583,"Adultos"
"Si","3","female",4,2,7.925,"Adultos"
"No","3","male",2,0,8.6625,"Adultos"
"No","2","male",0,0,10.5,"Adultos"
"No","3","female",5,2,46.9,"Adultos"
"No","2","male",0,0,73.5,"Adultos"
"No","3","male",1,0,14.4542,"Adultos"
"Si","3","male",0,0,56.4958,"Adultos"
"No","3","male",0,0,7.65,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"Si","2","male",0,2,29,"Niños"
"Si","3","female",0,0,12.475,"Adultos"
"No","3","male",0,0,9,"Adultos"
"Si","3","male",0,0,9.5,"Adultos"
"Si","3","female",0,0,7.7875,"Adultos"
"No","1","male",0,0,47.1,"Adultos"
"Si","2","female",0,0,10.5,"Adultos"
"Si","3","female",3,0,15.85,"Adultos"
"No","3","male",1,3,34.375,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"Si","1","female",3,2,263,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","male",0,0,7.8542,"Adultos"
"No","1","male",1,0,61.175,"Adultos"
"No","3","male",1,2,20.575,"Adultos"
"No","3","male",0,0,7.25,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","1","male",0,0,34.6542,"3ra Edad"
"Si","1","male",0,1,63.3583,"Adultos"
"Si","2","female",0,1,23,"Adultos"
"No","2","male",1,0,26,"Adultos"
"No","3","female",0,0,7.8958,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","1","male",0,1,77.2875,"Adultos"
"No","3","male",0,0,8.6542,"Adultos"
"No","3","male",2,0,7.925,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"Si","3","female",0,0,7.65,"Adultos"
"Si","3","male",0,0,7.775,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"Si","3","female",1,0,24.15,"Adultos"
"No","1","male",0,0,52,"Adultos"
"No","3","female",1,0,14.4542,"Niños"
"No","3","male",0,0,8.05,"Adultos"
"No","3","female",1,0,9.825,"Adultos"
"No","3","female",0,0,14.4583,"Adultos"
"No","3","male",0,0,7.925,"Adultos"
"No","3","male",0,0,7.75,"3ra Edad"
"No","2","male",1,0,21,"Adultos"
"No","1","male",0,1,247.5208,"Adultos"
"No","3","female",4,2,31.275,"Niños"
"No","2","male",2,0,73.5,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","2","male",1,0,30.0708,"Adultos"
"Si","2","female",0,0,13,"Adultos"
"No","1","male",0,1,77.2875,"Adultos"
"Si","3","male",1,0,11.2417,"Niños"
"No","3","male",0,0,7.75,"Adultos"
"Si","3","male",0,0,7.1417,"Adultos"
"Si","3","female",1,1,22.3583,"Niños"
"No","3","male",0,0,6.975,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","3","male",0,0,7.05,"Adultos"
"No","3","female",1,0,14.5,"Adultos"
"Si","2","female",1,0,26,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","2","male",0,0,15.0458,"Adultos"
"Si","1","female",0,2,26.2833,"Adultos"
"No","1","male",1,0,53.1,"Adultos"
"No","3","male",0,0,9.2167,"Adultos"
"No","1","male",0,0,79.2,"Adultos"
"No","3","female",0,2,15.2458,"Adultos"
"Si","3","female",0,0,7.75,"Adultos"
"Si","3","female",1,0,15.85,"Adultos"
"No","3","male",0,0,6.75,"Adultos"
"No","2","male",0,0,11.5,"Adultos"
"No","2","male",1,1,36.75,"Adultos"
"Si","3","male",0,0,7.7958,"Adultos"
"No","3","female",2,2,34.375,"Niños"
"No","2","male",0,2,26,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","2","male",0,0,12.525,"Adultos"
"Si","1","female",1,0,66.6,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","male",0,2,14.5,"Adultos"
"No","3","male",0,0,7.3125,"Adultos"
"No","1","male",0,1,61.3792,"Adultos"
"Si","3","female",0,0,7.7333,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","male",0,0,8.6625,"Adultos"
"No","3","male",0,1,16.1,"Adultos"
"Si","2","female",0,0,15.75,"Adultos"
"No","3","male",0,0,7.775,"Adultos"
"No","3","male",0,0,8.6625,"Adultos"
"No","3","male",4,1,39.6875,"Niños"
"Si","3","male",0,2,20.525,"Niños"
"Si","1","female",0,1,55,"Adultos"
"No","3","female",1,4,27.9,"Adultos"
"No","1","male",0,0,25.925,"3ra Edad"
"No","3","male",0,0,56.4958,"Adultos"
"No","1","male",0,0,33.5,"3ra Edad"
"No","3","male",4,1,29.125,"Niños"
"Si","3","female",1,1,11.1333,"Niños"
"No","3","male",0,0,7.925,"Adultos"
"No","1","male",0,0,30.6958,"Adultos"
"No","3","male",1,1,7.8542,"Adultos"
"No","3","male",3,1,25.4667,"Niños"
"No","1","female",0,0,28.7125,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","3","male",0,0,7.4958,"Adultos"
"No","2","male",0,0,15.05,"Adultos"
"No","3","male",4,2,31.3875,"Niños"
"Si","2","male",2,1,39,"Niños"
"Si","3","female",0,2,22.025,"Niños"
"No","1","male",0,0,50,"Adultos"
"Si","3","female",1,0,15.5,"Adultos"
"Si","1","male",0,0,26.55,"Adultos"
"No","3","male",1,1,15.5,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"Si","2","female",0,0,13,"Adultos"
"No","2","male",0,0,13,"Adultos"
"Si","3","female",1,0,7.8542,"Adultos"
"Si","2","male",1,1,26,"Niños"
"Si","1","female",0,0,27.7208,"Adultos"
"Si","1","female",0,0,146.5208,"Adultos"
"No","3","male",0,0,7.75,"Adultos"
"No","3","male",0,1,8.4042,"Adultos"
"Si","3","female",0,0,7.75,"Adultos"
"No","2","female",0,0,13,"Adultos"
"No","3","male",0,0,9.5,"Adultos"
"No","3","male",0,0,6.4958,"Adultos"
"No","3","male",0,0,7.225,"Adultos"
"Si","3","male",0,0,8.05,"Adultos"
"No","3","female",0,1,10.4625,"Niños"
"No","3","male",1,0,15.85,"Adultos"
"Si","3","male",0,0,18.7875,"Adultos"
"Si","3","female",0,0,7.75,"Adultos"
"Si","1","male",0,0,31,"Adultos"
"No","3","male",0,0,7.05,"Adultos"
"Si","2","female",0,0,21,"Adultos"
"No","3","male",0,0,7.25,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","3","male",1,0,7.75,"Adultos"
"Si","1","female",1,0,113.275,"Adultos"
"Si","3","female",0,0,7.925,"Adultos"
"No","2","male",1,0,27,"Adultos"
"Si","1","female",0,0,76.2917,"Adultos"
"No","2","male",0,0,10.5,"Adultos"
"Si","3","male",0,0,8.05,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"Si","1","male",1,0,90,"Adultos"
"No","3","male",0,0,9.35,"Adultos"
"Si","2","male",0,0,10.5,"Adultos"
"No","3","male",0,0,7.25,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","3","female",3,1,25.4667,"Niños"
"Si","1","female",1,0,83.475,"Adultos"
"No","3","male",0,0,7.775,"Adultos"
"No","2","male",0,0,13.5,"Adultos"
"Si","3","female",4,2,31.3875,"Niños"
"No","2","male",0,0,10.5,"Adultos"
"No","3","female",0,0,7.55,"Adultos"
"No","2","male",1,0,26,"Adultos"
"Si","2","female",0,2,26.25,"Niños"
"No","2","male",0,0,10.5,"Adultos"
"No","2","male",0,0,12.275,"Adultos"
"No","3","female",1,0,14.4542,"Adultos"
"Si","3","female",1,0,15.5,"Adultos"
"No","2","male",0,0,10.5,"Adultos"
"No","3","male",0,0,7.125,"Adultos"
"No","3","male",0,0,7.225,"Adultos"
"No","1","male",2,0,90,"Adultos"
"No","3","female",0,0,7.775,"Adultos"
"Si","2","female",0,2,14.5,"Adultos"
"Si","1","male",1,1,52.5542,"Adultos"
"No","2","male",1,0,26,"Adultos"
"No","3","male",0,0,7.25,"Adultos"
"No","3","female",1,1,10.4625,"Adultos"
"No","1","male",0,0,26.55,"3ra Edad"
"No","3","male",1,0,16.1,"Adultos"
"No","3","female",0,2,20.2125,"Adultos"
"Si","3","female",0,2,15.2458,"Adultos"
"Si","1","female",0,0,79.2,"Adultos"
"Si","1","female",0,0,86.5,"Adultos"
"Si","2","female",0,1,26,"Adultos"
"No","3","male",0,0,7.75,"Adultos"
"Si","3","male",4,2,31.3875,"Niños"
"No","1","male",1,1,79.65,"Adultos"
"No","1","male",0,0,35.5,"Adultos"
"No","3","female",0,0,7.75,"Adultos"
"No","2","male",0,0,10.5,"Adultos"
"No","3","male",4,1,39.6875,"Adultos"
"Si","3","male",1,0,7.775,"Adultos"
"Si","1","female",0,1,153.4625,"Adultos"
"Si","1","female",0,0,135.6333,"Adultos"
"No","1","male",0,0,31,"Adultos"
"Si","3","male",0,0,7.7958,"Adultos"
"Si","2","female",0,1,19.5,"Adultos"
"No","1","male",0,1,29.7,"Adultos"
"Si","3","female",0,0,7.75,"Adultos"
"Si","1","female",1,0,77.9583,"3ra Edad"
"No","3","female",0,0,7.75,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","3","male",4,1,29.125,"Niños"
"Si","3","female",1,1,20.25,"Adultos"
"No","3","male",0,0,7.75,"3ra Edad"
"No","3","male",0,0,7.8542,"Adultos"
"No","3","male",0,0,9.5,"Adultos"
"Si","3","male",0,0,8.05,"Adultos"
"No","1","male",0,0,26,"3ra Edad"
"No","3","male",0,0,8.6625,"Adultos"
"Si","3","male",0,0,9.5,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"Si","2","male",0,0,13,"Adultos"
"Si","3","female",0,0,7.75,"Adultos"
"Si","1","female",0,0,78.85,"Adultos"
"Si","1","female",1,0,91.0792,"Adultos"
"No","2","male",0,0,12.875,"Adultos"
"No","3","female",0,0,8.85,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","1","male",0,0,27.7208,"Adultos"
"No","3","male",0,0,7.2292,"Adultos"
"No","1","female",1,2,151.55,"Niños"
"Si","1","male",0,0,30.5,"Adultos"
"Si","1","female",0,1,247.5208,"Adultos"
"Si","3","female",0,0,7.75,"Adultos"
"Si","3","male",2,0,23.25,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"Si","2","female",0,0,12.35,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"Si","1","male",1,2,151.55,"Niños"
"Si","1","female",0,0,110.8833,"Adultos"
"Si","1","female",1,0,108.9,"Adultos"
"No","2","male",1,0,24,"Adultos"
"Si","1","female",0,0,56.9292,"Adultos"
"Si","1","female",0,0,83.1583,"Adultos"
"Si","1","female",2,2,262.375,"Adultos"
"No","2","female",1,1,26,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","2","male",1,1,26.25,"Adultos"
"Si","3","female",0,0,7.8542,"Adultos"
"Si","2","female",1,0,26,"Adultos"
"No","2","male",0,0,14,"Adultos"
"Si","1","female",0,2,164.8667,"Adultos"
"Si","1","female",1,1,134.5,"Adultos"
"No","3","male",0,0,7.25,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"Si","2","female",0,0,12.35,"Adultos"
"Si","2","female",1,1,29,"Adultos"
"Si","1","female",0,0,135.6333,"Adultos"
"No","3","male",0,0,6.2375,"3ra Edad"
"Si","2","female",0,0,13,"Adultos"
"Si","3","female",1,1,20.525,"Adultos"
"Si","1","female",0,1,57.9792,"Adultos"
"Si","3","female",2,0,23.25,"Adultos"
"No","1","male",0,0,28.5,"Adultos"
"No","1","male",0,1,153.4625,"Adultos"
"No","3","male",2,0,18,"Adultos"
"Si","1","female",1,0,133.65,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","1","male",1,0,66.6,"Adultos"
"Si","1","female",0,0,134.5,"Adultos"
"Si","3","male",0,0,8.05,"Adultos"
"No","1","male",0,0,35.5,"Adultos"
"Si","2","male",1,1,26,"Niños"
"Si","1","female",3,2,263,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","2","male",0,0,13,"Adultos"
"Si","2","female",0,0,13,"Adultos"
"Si","2","female",0,0,13,"Adultos"
"Si","3","female",1,0,16.1,"Adultos"
"Si","3","male",1,1,15.9,"Niños"
"No","3","male",0,0,8.6625,"Adultos"
"No","3","male",0,0,9.225,"Adultos"
"No","1","male",0,0,35,"3ra Edad"
"No","3","male",1,1,7.2292,"Adultos"
"No","3","male",1,0,17.8,"Adultos"
"No","3","male",0,0,7.225,"Adultos"
"No","3","male",0,0,9.5,"Adultos"
"Si","1","female",0,1,55,"Adultos"
"No","2","female",0,0,13,"Adultos"
"Si","3","female",0,0,7.8792,"Adultos"
"Si","3","female",0,0,7.8792,"Adultos"
"No","3","male",1,4,27.9,"Adultos"
"No","2","male",1,0,27.7208,"Adultos"
"No","3","female",0,1,14.4542,"Adultos"
"No","3","male",0,0,7.05,"Adultos"
"No","3","male",1,0,15.5,"Adultos"
"No","3","male",0,0,7.25,"Adultos"
"Si","1","female",1,0,75.25,"Adultos"
"Si","3","female",0,0,7.2292,"Adultos"
"Si","3","female",0,0,7.75,"Adultos"
"Si","1","female",0,0,69.3,"Adultos"
"Si","1","male",1,0,55.4417,"Adultos"
"No","3","male",1,0,6.4958,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","1","male",0,0,135.6333,"Adultos"
"No","3","female",3,1,21.075,"Niños"
"Si","1","female",1,0,82.1708,"Adultos"
"Si","3","female",0,0,7.25,"Adultos"
"No","1","male",0,2,211.5,"Adultos"
"No","3","male",0,0,4.0125,"Adultos"
"No","3","male",0,0,7.775,"Adultos"
"Si","1","female",0,0,227.525,"Adultos"
"Si","3","female",0,2,15.7417,"Niños"
"No","3","male",0,0,7.925,"Adultos"
"Si","1","female",1,0,52,"Adultos"
"No","3","male",0,0,7.8958,"Adultos"
"No","2","male",0,0,73.5,"Adultos"
"No","3","male",5,2,46.9,"Niños"
"Si","2","female",0,0,13,"Adultos"
"No","3","male",0,0,7.7292,"Adultos"
"Si","2","female",0,0,12,"Adultos"
"Si","1","male",1,2,120,"Adultos"
"Si","3","male",0,0,7.7958,"Adultos"
"No","3","male",2,0,7.925,"Adultos"
"Si","1","female",1,0,113.275,"Adultos"
"Si","3","female",0,2,16.7,"Adultos"
"No","3","male",0,0,7.7958,"Adultos"
"No","3","female",0,0,7.8542,"Adultos"
"No","2","male",0,0,26,"Adultos"
"No","2","male",0,0,10.5,"Adultos"
"Si","2","female",0,0,12.65,"Adultos"
"Si","3","male",0,0,7.925,"Adultos"
"No","3","male",0,0,8.05,"Adultos"
"No","3","female",1,0,9.825,"Adultos"
"No","3","male",1,0,15.85,"Adultos"
"No","3","female",0,0,8.6625,"Adultos"
"No","2","male",1,0,21,"Adultos"
"No","3","male",0,0,7.75,"Adultos"
"Si","2","male",1,1,18.75,"Niños"
"No","3","male",0,0,7.775,"Adultos"
"No","3","female",3,1,25.4667,"Niños"
"No","3","male",0,0,7.8958,"Adultos"
"No","3","male",0,0,6.8583,"Adultos"
"Si","1","female",1,0,90,"Adultos"
"No","2","male",0,0,13,"Adultos"
"Si","3","male",0,0,7.925,"Adultos"
"No","3","female",0,0,8.05,"Adultos"
"Si","2","female",1,1,32.5,"Adultos"
"Si","2","female",0,2,13,"Adultos"
"No","2","male",0,0,13,"Adultos"
"No","3","female",0,2,24.15,"Niños"
"No","3","male",0,0,7.8958,"Adultos"
"No","3","male",0,0,7.7333,"Adultos"
"No","3","male",0,0,7.875,"Adultos"
"No","3","female",1,1,14.4,"Adultos"
"No","3","male",1,1,20.2125,"Adultos"
"No","3","male",0,0,7.25,"Adultos"
"Si","2","female",1,0,26,"Adultos"
"Si","2","female",0,0,26,"Adultos"
"No","3","male",0,0,7.75,"Adultos"
"Si","3","male",0,0,8.05,"Adultos"
"Si","1","male",0,0,26.55,"Adultos"
"Si","3","female",1,0,16.1,"Adultos"
"Si","2","female",1,0,26,"Adultos"
"No","3","male",0,0,7.125,"Adultos"
"No","1","male",1,0,55.9,"Adultos"
"Si","1","female",1,2,120,"Niños"
"No","3","female",2,2,34.375,"Adultos"
"Si","2","female",2,3,18.75,"Adultos"
"No","1","male",1,4,263,"3ra Edad"
"No","2","male",0,0,10.5,"Adultos"
"Si","2","female",1,1,26.25,"Adultos"
"No","3","male",0,0,9.5,"Adultos"
"No","3","male",1,0,7.775,"Adultos"
"Si","2","female",0,0,13,"Adultos"
